"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
6.9.1,financial,Error,iati,The organisation must have an identifier or a narrative.,,provider-org|receiver-org,not(@ref) and not(narrative)
7.5.2,financial,Error,iati,Budget Value must include a Value Date.,https://drive.google.com/file/d/1vB3vk7gbnADwG1S8A1bRDd8mK-nOfwCh/view?usp=drive_open,budget,not(value/@value-date)
7.5.3,financial,Error,iati,Budget Period must not be longer than one year.,https://drive.google.com/file/d/1JhMfO-f3Mldrs15OMlHTAUF9KixTUq5G/view,budget|total-budget|total-expenditure|recipient-country-budget|recipient-region-budget|recipient-org-budget,count(period-start/@iso-date)=1 and period-start/@iso-date castable as xs:date and count(period-end/@iso-date)=1 and period-end/@iso-date castable as xs:date and (xs:date(period-start/@iso-date) + xs:yearMonthDuration('P1Y') lt xs:date(period-end/@iso-date))
7.8.1,financial,Error,iati,"The Value must have a specified Currency, or the Activity must have a default Currency.",{me:iati-url('codelists/Currency/')},iati-activity//value|loan-status|forecast,(not(@currency) or currency='') and (not(ancestor::iati-activity/@default-currency) or ancestor::iati-activity/@default-currency='')
7.8.1,financial,Error,iati,"The Value must have a specified Currency, or the Organisation must have a default Currency.",{me:iati-url('codelists/Currency/')},iati-organisation//value,(not(@currency) or currency='') and (not(ancestor::iati-organisation/@default-currency) or ancestor::iati-organisation/@default-currency='')
7.9.1,financial,,,"Percentages are missing for one or more country budget items, within a vocabulary (e.g. 4 - Reporting Organisation).",{me:iati-url(activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/)},iati-activity[country-budget-items],count($group[not(@percentage)]) > 0
7.9.2,financial,,,"Percentages for country budget items, within a vocabulary (e.g. 4 - Reporting Organisation), {$verb} add up to 100%.",{me:iati-url(activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/)},iati-activity[country-budget-items],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
7.9.4,financial,,,"For a single country budget item, the percentage must either be omitted, or set to 100.",{me:iati-url(activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/)},iati-activity[country-budget-items],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
8.10.1,performance,Error,iati:2.03,"The actual must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/actual/')},"actual[../../@measure=('1', '2', '3', '4')]",not(@value)
8.10.2,performance,Warning,iati:2.03,The @value should be a valid number for all non-qualitative measures.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/actual/')},"actual[../../@measure=('1', '2', '3', '4')]",not(@value castable as xs:decimal)
8.10.3,performance,Warning,iati:2.03,The @value should be omitted for qualitative measures.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/actual/')},actual[../../@measure=('5')],@value
8.11.1,performance,Error,iati,"If a result has a reference code, the indicator must not have a reference code.",{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/reference/')},indicator[reference],../reference
8.6.1,performance,Error,iati,The start of the period must be before the end of the period.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/period-start/')},period,count(period-start/@iso-date)=1 and period-start/@iso-date castable as xs:date and count(period-end/@iso-date)=1 and period-end/@iso-date castable as xs:date and (period-start/@iso-date gt period-end/@iso-date)
8.6.3,financial,Error,iati,The start of the period must be before the end of the period.,https://drive.google.com/file/d/1mv2Q666tKBOAoiy5JayslmZNetxDM1uu/view,budget|total-budget|total-expenditure|recipient-org-budget|recipient-country-budget|recipient-region-budget|planned-disbursement,count(period-start/@iso-date)=1 and period-start/@iso-date castable as xs:date and count(period-end/@iso-date)=1 and period-end/@iso-date castable as xs:date and (period-start/@iso-date gt period-end/@iso-date)
8.8.1,performance,Error,iati:2.03,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/baseline/')},"baseline[../@measure=('1', '2', '3', '4')]",not(@value)
8.8.2,performance,Warning,iati:2.03,The @value should be a valid number for all non-qualitative measures.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/baseline/')},"baseline[../@measure=('1', '2', '3', '4')]",not(@value castable as xs:decimal)
8.8.3,performance,Warning,iati:2.03,The @value should be omitted for qualitative measures.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/baseline/')},baseline[../@measure=('5')],@value
8.9.1,performance,Error,iati:2.03,"The target must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/target/')},"target[../../@measure=('1', '2', '3', '4')]",not(@value)
8.9.2,performance,Warning,iati:2.03,The @value should be a valid number for all non-qualitative measures.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/target/')},"target[../../@measure=('1', '2', '3', '4')]",not(@value castable as xs:decimal)
8.9.3,performance,Warning,iati:2.03,The @value should be omitted for qualitative measures.,{me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/target/')},target[../../@measure=('5')],@value
9.1.1,iati,Error,iati,The IATI version of the dataset is not a valid version number.,{me:iati-url('codelists/Version/')},//iati-activities/@version,"me:codeListFail(., 'Version', $iati-version)"
9.10.1,classifications,Error,iati,The collaboration type is invalid.,{me:iati-url('codelists/CollaborationType/')},//iati-activity/collaboration-type/@code,"me:codeListFail(., 'CollaborationType', $iati-version)"
9.100.1,documents,Error,iati,The language code is invalid.,{me:iati-url('codelists/Language/')},//iati-organisation/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
9.101.1,documents,Error,iati,The recipient country code is invalid.,{me:iati-url('codelists/Country/')},//iati-organisation/document-link/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
9.102.1,financial,Error,iati,The budget status is invalid.,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/recipient-country-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
9.103.1,financial,Error,iati,The recipient country code is invalid.,{me:iati-url('codelists/Country/')},//iati-organisation/recipient-country-budget/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
9.104.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-country-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.105.1,financial,Error,iati,The budget status is invalid.,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/recipient-org-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
9.106.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-org-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.107.1,financial,Error,iati,The budget status is invalid.,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/recipient-region-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
9.108.1,financial,Error,iati,The recipient region budget code is invalid.,{me:iati-url('codelists/Region/')},//iati-organisation/recipient-region-budget/recipient-region[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'Region', $iati-version)"
9.109.1,geo,Error,iati,The recipient region vocabulary is invalid.,{me:iati-url('codelists/RegionVocabulary/')},//iati-organisation/recipient-region-budget/recipient-region/@vocabulary,"me:codeListFail(., 'RegionVocabulary', $iati-version)"
9.11.1,performance,Error,iati,The condition type is invalid.,{me:iati-url('codelists/ConditionType/')},//iati-activity/conditions/condition/@type,"me:codeListFail(., 'ConditionType', $iati-version)"
9.110.1,geo,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-region-budget/budget-line/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.111.1,geo,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-region-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.112.1,information,Error,iati,The organisation type is invalid.,{me:iati-url('codelists/OrganisationType/')},//iati-organisation/reporting-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
9.113.1,financial,Error,iati,The budget status is invalid.,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/total-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
9.114.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/total-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.116.1,iati,Error,iati,The AidType flag is invalid.,{me:iati-url('codelists/AidTypeFlag/')},//iati-activity/crs-add/aidtype-flag/@code,"me:codeListFail(., 'AidTypeFlag', $iati-version)"
9.117.1,geo,Error,iati,The country code is invalid.,{me:iati-url('codelists/Country/')},//iati-activity/location/administrative[@vocabulary = 'A4']/@code,"me:codeListFail(., 'Country', $iati-version)"
9.118.1,geo,Error,iati,The geographical precision code is invalid.,{me:iati-url('codelists/GeographicalPrecision/')},//iati-activity/location/coordinates/@precision,"me:codeListFail(., 'GeographicalPrecision', $iati-version)"
9.119.1,geo,Error,iati,The gazetteer agency code is invalid.,{me:iati-url('codelists/GazetteerAgency/')},//iati-activity/location/gazetteer-entry/@gazetteer-ref,"me:codeListFail(., 'GazetteerAgency', $iati-version)"
9.12.1,information,Error,iati,The contact information type is invalid.,{me:iati-url('codelists/ContactType/')},//iati-activity/contact-info/@type,"me:codeListFail(., 'ContactType', $iati-version)"
9.120.1,geo,Error,iati,The location type code is invalid.,{me:iati-url('codelists/LocationType/')},//iati-activity/location/feature-designation/@code,"me:codeListFail(., 'LocationType', $iati-version)"
9.122.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-country-budget/budget-line/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.123.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-org-budget/budget-line/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.124.1,financial,Error,iati,The DAC3 sector code is invalid.,{me:iati-url('codelists/SectorCategory/')},//iati-activity/transaction/sector[@vocabulary = '2']/@code,"me:codeListFail(., 'SectorCategory', $iati-version)"
9.125.1,iati,Error,iati,The UNSDG goal code is invalid.,{me:iati-url('codelists/UNSDG-Goals/')},//iati-activity/tag[@vocabulary = '2']/@code,"me:codeListFail(., 'UNSDG-Goals', $iati-version)"
9.126.1,iati,Error,iati,The UNSDG target code is invalid.,{me:iati-url('codelists/UNSDG-Targets/')},//iati-activity/tag[@vocabulary = '3']/@code,"me:codeListFail(., 'UNSDG-Targets', $iati-version)"
9.127.1,iati,Error,iati,The earmarking category code is invalid.,{me:iati-url('codelists/EarmarkingCategory/')},//iati-activity/default-aid-type[@vocabulary = '2']/@code,"me:codeListFail(., 'EarmarkingCategory', $iati-version)"
9.128.1,iati,Error,iati,The cash and voucher modality code is invalid.,{me:iati-url('codelists/CashandVoucherModalities/')},//iati-activity/default-aid-type[@vocabulary = '4']/@code,"me:codeListFail(., 'CashandVoucherModalities', $iati-version)"
9.13.1,classifications,Error,iati,The country budget identifier vocabulary is invalid.,{me:iati-url('codelists/BudgetIdentifierVocabulary/')},//iati-activity/country-budget-items/@vocabulary,"me:codeListFail(., 'BudgetIdentifierVocabulary', $iati-version)"
9.14.1,classifications,Error,iati,The country budget identifier does not exist.,{me:iati-url('codelists/BudgetIdentifier/')},//iati-activity/country-budget-items/budget-item[../@vocabulary = '1']/@code,"($iati-version != '2.03') and me:codeListFail(., 'BudgetIdentifier', $iati-version)"
9.15.1,classifications,Error,iati,The country budget item description type is invalid.,{me:iati-url('codelists/DescriptionType/')},//iati-activity/country-budget-items/budget-item/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
9.16.1,classifications,Error,iati,The CRS channel code is invalid.,{me:iati-url('codelists/CRSChannelCode/')},//iati-activity/crs-add/channel-code/text(),"me:codeListFail(., 'CRSChannelCode', $iati-version)"
9.17.1,classifications,Error,iati,The CRS other flag code is invalid.,{me:iati-url('codelists/CRSAddOtherFlags/')},//iati-activity/crs-add/other-flags/@code,"me:codeListFail(., 'CRSAddOtherFlags', $iati-version)"
9.18.1,classifications,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-activity/crs-add/loan-status/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.19.1,classifications,Error,iati,The repayment plan code is invalid.,{me:iati-url('codelists/LoanRepaymentPeriod/')},//iati-activity/crs-add/loan-terms/repayment-plan/@code,"me:codeListFail(., 'LoanRepaymentPeriod', $iati-version)"
9.2.1,financial,Error,iati,The code to indicate why no budget is provided is invalid.,{me:iati-url('codelists/BudgetNotProvided/')},//iati-activity/@budget-not-provided,"me:codeListFail(., 'BudgetNotProvided', $iati-version)"
9.20.1,classifications,Error,iati,The repayment type is invalid.,{me:iati-url('codelists/LoanRepaymentType/')},//iati-activity/crs-add/loan-terms/repayment-type/@code,"me:codeListFail(., 'LoanRepaymentType', $iati-version)"
9.21.1,classifications,Error,iati,The default aid type is invalid.,{me:iati-url('codelists/AidType/')},//iati-activity/default-aid-type[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'AidType', $iati-version)"
9.22.1,classifications,Error,iati,The default aid type vocabulary is invalid.,{me:iati-url('codelists/AidTypeVocabulary/')},//iati-activity/default-aid-type/@vocabulary,"me:codeListFail(., 'AidTypeVocabulary', $iati-version)"
9.23.1,classifications,Error,iati,The default finance type is invalid.,{me:iati-url('codelists/FinanceType/')},//iati-activity/default-finance-type/@code,"me:codeListFail(., 'FinanceType', $iati-version)"
9.24.1,classifications,Error,iati,The default flow type is invalid.,{me:iati-url('codelists/FlowType/')},//iati-activity/default-flow-type/@code,"me:codeListFail(., 'FlowType', $iati-version)"
9.25.1,classifications,Error,iati,The default tied aid status code is invalid.,{me:iati-url('codelists/TiedStatus/')},//iati-activity/default-tied-status/@code,"me:codeListFail(., 'TiedStatus', $iati-version)"
9.26.1,information,Error,iati,The description type is invalid.,{me:iati-url('codelists/DescriptionType/')},//iati-activity/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
9.27.1,documents,Error,iati,The document format is invalid.,{me:iati-url('codelists/FileFormat/')},//iati-activity/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
9.28.1,documents,Error,iati,The document category code is invalid.,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
9.29.1,documents,Error,iati,The document language code is invalid.,{me:iati-url('codelists/Language/')},//iati-activity/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
9.3.1,financial,Error,iati,The default currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-activity/@default-currency,"me:codeListFail(., 'Currency', $iati-version)"
9.30.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-activity/fss/forecast/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.31.1,classifications,Error,iati,The humanitarian scope type is invalid.,{me:iati-url('codelists/HumanitarianScopeType/')},//iati-activity/humanitarian-scope/@type,"me:codeListFail(., 'HumanitarianScopeType', $iati-version)"
9.32.1,classifications,Error,iati,The humanitarian scope vocabulary is invalid.,{me:iati-url('codelists/HumanitarianScopeVocabulary/')},//iati-activity/humanitarian-scope/@vocabulary,"me:codeListFail(., 'HumanitarianScopeVocabulary', $iati-version)"
9.33.1,geo,Error,iati,The location's administrative vocabulary is invalid.,{me:iati-url('codelists/GeographicVocabulary/')},//iati-activity/location/administrative/@vocabulary,"me:codeListFail(., 'GeographicVocabulary', $iati-version)"
9.34.1,geo,Error,iati,The location's feature designation code is invalid.,{me:iati-url('codelists/LocationType/')},//iati-activity/location/feature-designation/@code,"me:codeListFail(., 'LocationType', $iati-version)"
9.35.1,geo,Error,iati,The location class code is invalid.,{me:iati-url('codelists/GeographicLocationClass/')},//iati-activity/location/location-class/@code,"me:codeListFail(., 'GeographicLocationClass', $iati-version)"
9.36.1,geo,Error,iati,The location identifier vocabulary is invalid.,{me:iati-url('codelists/GeographicVocabulary/')},//iati-activity/location/location-id/@vocabulary,"me:codeListFail(., 'GeographicVocabulary', $iati-version)"
9.37.1,geo,Error,iati,The location reach code is invalid.,{me:iati-url('codelists/GeographicLocationReach/')},//iati-activity/location/location-reach/@code,"me:codeListFail(., 'GeographicLocationReach', $iati-version)"
9.38.1,geo,Error,iati,The location exactness code is invalid.,{me:iati-url('codelists/GeographicExactness/')},//iati-activity/location/exactness/@code,"me:codeListFail(., 'GeographicExactness', $iati-version)"
9.39.1,identifiers,Error,iati,"The ""other identifier"" type is invalid.",{me:iati-url('codelists/OtherIdentifierType/')},//iati-activity/other-identifier/@type,"me:codeListFail(., 'OtherIdentifierType', $iati-version)"
9.4.1,information,Error,iati,The activity date type is invalid.,{me:iati-url('codelists/ActivityDateType/')},//iati-activity/activity-date/@type,"me:codeListFail(., 'ActivityDateType', $iati-version)"
9.40.1,participating,Error,iati,The CRS channel code is invalid.,{me:iati-url('codelists/CRSChannelCode/')},//iati-activity/participating-org/@crs-channel-code,"me:codeListFail(., 'CRSChannelCode', $iati-version)"
9.41.1,participating,Error,iati,The organisation role is invalid.,{me:iati-url('codelists/OrganisationRole/')},//iati-activity/participating-org/@role,"me:codeListFail(., 'OrganisationRole', $iati-version)"
9.42.1,participating,Error,iati,The organisation type is invalid.,{me:iati-url('codelists/OrganisationType/')},//iati-activity/participating-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
9.43.1,financial,Error,iati,The planned disbursement budget type is invalid.,{me:iati-url('codelists/BudgetType/')},//iati-activity/planned-disbursement/@type,"me:codeListFail(., 'BudgetType', $iati-version)"
9.44.1,financial,Error,iati,The organisation type is invalid.,{me:iati-url('codelists/OrganisationType/')},//iati-activity/planned-disbursement/provider-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
9.45.1,financial,Error,iati,The organisation type is invalid.,{me:iati-url('codelists/OrganisationType/')},//iati-activity/planned-disbursement/receiver-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
9.46.1,financial,Error,iati,The currency code is invalid.,{me:iati-url('codelists/Currency/')},//iati-activity/planned-disbursement/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
9.47.1,classifications,Error,iati,The policy marker code is invalid.,{me:iati-url('codelists/PolicyMarker/')},//iati-activity/policy-marker[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'PolicyMarker', $iati-version)"
9.48.1,classifications,Error,iati,The policy marker significance is invalid.,{me:iati-url('codelists/PolicySignificance/')},//iati-activity/policy-marker/@significance,"me:codeListFail(., 'PolicySignificance', $iati-version)"
9.49.1,classifications,Error,iati,The policy marker vocabulary is invalid.,{me:iati-url('codelists/PolicyMarkerVocabulary/')},//iati-activity/policy-marker/@vocabulary,"me:codeListFail(., 'PolicyMarkerVocabulary', $iati-version)"
9.5.1,information,Error,iati,The activity status code is invalid.,{me:iati-url('codelists/ActivityStatus/')},//iati-activity/activity-status/@code,"me:codeListFail(., 'ActivityStatus', $iati-version)"
9.50.1,geo,Error,iati,The recipient country code is invalid.,{me:iati-url('codelists/Country/')},//iati-activity/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
9.51.1,geo,Error,iati,The recipient region code is invalid.,{me:iati-url('codelists/Region/')},//iati-activity/recipient-region[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'Region', $iati-version)"
9.52.1,geo,Error,iati,The recipient region vocabulary is invalid.,{me:iati-url('codelists/RegionVocabulary/')},//iati-activity/recipient-region/@vocabulary,"me:codeListFail(., 'RegionVocabulary', $iati-version)"
9.53.1,relations,Error,iati,The related activity type is invalid.,{me:iati-url('codelists/RelatedActivityType/')},//iati-activity/related-activity/@type,"me:codeListFail(., 'RelatedActivityType', $iati-version)"
9.54.1,identifiers,Error,iati,The organisation type is invalid.,{me:iati-url('codelists/OrganisationType/')},//iati-activity/reporting-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
9.55.1,performance,Error,iati,The result type is invalid.,{me:iati-url('codelists/ResultType/')},//iati-activity/result/@type,"me:codeListFail(., 'ResultType', $iati-version)"
9.56.1,performance,Error,iati,The result description type is invalid.,{me:iati-url('codelists/DescriptionType/')},//iati-activity/result/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
9.57.1,performance,Error,iati,The document format is invalid.,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
9.58.1,performance,Error,iati,The document category code is invalid.,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
9.59.1,performance,Error,iati,The language code is invalid.,{me:iati-url('codelists/Language/')},//iati-activity/result/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
9.6.1,information,Error,iati,The activity scope code is invalid.,{me:iati-url('codelists/ActivityScope/')},//iati-activity/activity-scope/@code,"me:codeListFail(., 'ActivityScope', $iati-version)"
9.60.1,performance,Error,iati,The indicator measure is invalid.,{me:iati-url('codelists/IndicatorMeasure/')},//iati-activity/result/indicator/@measure,"me:codeListFail(., 'IndicatorMeasure', $iati-version)"
9.61.1,performance,Error,iati,The document format is invalid.,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/indicator/baseline/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
9.62.1,performance,Error,iati,The document category code is invalid.,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/indicator/baseline/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
9.63.1,performance,Error,iati,The language code is invalid.,{me:iati-url('codelists/Language/')},//iati-activity/result/indicator/baseline/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
9.64.1,performance,Error,iati,The indicator description type is invalid.,{me:iati-url('codelists/DescriptionType/')},//iati-activity/result/indicator/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
9.65.1,performance,Error,iati,The document format is invalid.,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/indicator/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
9.66.1,performance,Error,iati,The document category code is invalid.,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/indicator/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
